aeration	"공기에 쐼, 환풍, 순환"
aerodynamic	공기역학의
aerobic	호기성의
alternate	"번갈아 일어나다, 교체하다, 번갈아 하는, 교대의"
ambidextrous	"양손잡이의, 솜씨가 비범한"
ambiguous	"모호한, 분명하지 않은"
amphibian	"양서류의, 양서동물"
amphibious	"양서류의, 수륙양용의"
archaeology	"유적, 유물, 고고학"
archaeopteryx	시조새
archetype	"원형, 전형"
astronomy	천문학
catastrophe	"대참사, 대재앙"
auditorium	"청중석, 강당"
autobiography	"자서전, 자전"
autocrat	"독재 군주, 독재자"
autograph	"서명, 사인을 해주다"
embargo	"출항 금지, 금지"
benediction	"축복, 감사기도"
benefactor	"은혜를 베푸는 사람, 기부자, 후원자"
beneficient	"자선심이 많은, 선행을 하는"
bibliography	서지학
accuse	"고발하다, 비난하다"
excuse	"변명, 사과, 구실, 변명하다, 용서하다"
caustic	"통렬한, 신랄한"
inexcusable	용서받을 수 없는
exceed	"넘다, 초과하다"
secede	탈퇴하다
antecendent	"앞서는, 선행의, 조상, 선조"
eccentric	"별난, 괴벽스러운"
centrifuge	원심 분리하다
ascertain	"확인하다, 규명하다"
certify	"증명하다, 인증하다"
claim	"요구하다, 주장하다, 요구, 주장"
proclaim	"선언하다, 공포하다"
disclaim	"~의 권리를 포기하다, 부인하다"
acclaim	"갈채, 환호, 갈채하다"
exclaim	"외치다, 감탄하다"
conclude	"끝내다, 결론짓다"
enclose	"에워싸다, 동봉하다, 넣다"
reclusive	"세상을 버린, 은둔한, 쓸쓸한"
accredit	"~으로 돌리다, 믿다, 인가하다"
creed	"신념, 신조 ,교의"
creditor	채권자
dictate	"구술하다, 받아쓰게 하다"
contradict	"부인하다, 모순되다"
dictator	"독재자, 지배자"
condone	"묵과하다, 용서하다, 속죄하다"
anecdote	"일화, 기담, 비화"
antidote	해독제
conduct	"행동하다, 지휘하다, 이끌어 내다, 행위, 행실, 지도"
induce	"야기하다, 권유하다"
faculty	"능력, 재능 ,기부, 학부"
genuine	"진짜의, 타고난, 진실된"
exaggerate	"과장하다, 과대시하다"
congestion	"밀집, 폭주, 혼잡"
heritage	유산
inherit	"상속하다, 물려받다"
heredity	"유전, 유전적 형질, 계승"
inherent	"물려받은, 상속 받은, 내재된"
humiliate	"굴욕감을 느끼게 하다, 창피를 주다"
object	"반대하다, 항의하다, 물건, 목적, 대상"
adjacent	"이웃의, 직전의"
judicial	"사법의, 재판의"
laborious	"힘이 드는, 근면한"
collaborate	"공동으로 일하다, 협력하다"
locomotion	"운동, 이동, 교통기관"
locality	"장소, 소재"
locus	"장소, 위치, 현장"
relocate	"다시 배치하다, 재배치하다"
maneuver	"책략, 술책, 작전, 조정하다"
manuscript	"원고, 손으로 쓴것"
manipulate	"교묘하게 다루다, 솜씨있게 처리하다"
meditate	"꾀하다, 명상하다, 숙고하다"
medieval	"중세의, 고풍의"
medium	"매개물, 수단, 방편"
intermediate	"중간의, 중간에 일어나는, 중급자"
migrate	이주하다
emigrate	"이주하다,전출하다"
immigrate	"이주하다, 전입하다"
emit	"방사하다, 내뿜다"
admit	"수용하다, 받아들이다"
omit	"생략하다, 빠뜨리다"
respect	"존경하다, 준수하다"
prospect	"전망, 가망, 기대, 기대되는"
suspect	"짐작하다, 의심을 두다"
speculate	"사색하다, 추측하다"
assimilate	"동화하다, 동화"
resemble	"~을 닮다, 공통점이 있다"
assemble	"모으다, 조립하다"
ascend	"오르다, 상승, 오름"
descend	"내려오다, 전해지다, 자손, 후예"
transcend	"초월하다, 능가하다, 선험적인, 막연한"
satiate	"충분히 만족시키다, 싫증나게 하다"
saturate	"흠뻑 적시다, 포화시키다"
unsaturated	"만족할 수 없는, 불포화의"
predescribe	"규정하다, 정하다, 처방하다"
subscribe	"서명하다, 정기 구독하다"
ascribe	"~에 돌리다, ~의 탓으로 돌리다"
inscribe	"새기다, 파다"
